pastry,salty snack,whole milk
semi-finished bread,sausage,whole milk,yogurt
yogurt,root vegetables,butter,yogurt
specialty chocolate,Instant food products,fruit/vegetable juice
chicken,onions
pastry,whole milk
pork,bottled water
pip fruit,soda
soda,curd
sweet spreads,butter
whole milk,soda,rolls/buns,condensed milk
tropical fruit,rolls/buns
specialty bar,margarine
butter,whole milk
white bread,candy
herbs,frankfurter
beverages,waffles
yogurt,house keeping products
pasta,cat food,yogurt
hygiene articles,whipped/sour cream
UHT-milk,other vegetables,dishes
meat,whole milk
hamburger meat,bottled beer
coffee,frozen vegetables,pork
shopping bags,shopping bags
other vegetables,rolls/buns,soda,dishes
hamburger meat,female sanitary products,popcorn,other vegetables,tropical fruit
fish,cream cheese,red/blush wine,tropical fruit
shopping bags,beef
root vegetables,grapes
chicken,beverages,coffee
dog food,butter
whole milk,soda
chewing gum,bottled water
hamburger meat,soda
frankfurter,whipped/sour cream
yogurt,butter milk,margarine,yogurt
pork,other vegetables,soft cheese,detergent,yogurt,shopping bags
soda,soda
waffles,rolls/buns
sugar,whole milk
frozen vegetables,chicken
whole milk,other vegetables
pastry,hamburger meat
fruit/vegetable juice,soda
oil,bottled beer
margarine,frankfurter,citrus fruit
other vegetables,photo/film
pork,white wine
newspapers,bottled water,yogurt,soda
whole milk,ham
pip fruit,other vegetables
meat spreads,whipped/sour cream
domestic eggs,soda,sliced cheese,soda
pickled vegetables,salty snack
UHT-milk,tropical fruit
other vegetables,chicken
yogurt,root vegetables
sausage,bottled water
other vegetables,root vegetables
dessert,spread cheese
cling film/bags,sausage,salty snack
bottled beer,fruit/vegetable juice,soda
chocolate,beef
whipped/sour cream,hard cheese
dessert,beverages
root vegetables,tropical fruit,whole milk,Instant food products,margarine
whole milk,sauces
white bread,frozen fruits
whipped/sour cream,ketchup,ham
long life bakery product,other vegetables,tropical fruit,whole milk
whole milk,butter,yogurt,other vegetables,shopping bags
whole milk,citrus fruit
candy,rolls/buns
rolls/buns,cream cheese
whole milk,root vegetables
long life bakery product,other vegetables,root vegetables
tropical fruit,whole milk,long life bakery product,rum
soda,hamburger meat
tropical fruit,rolls/buns
frozen fish,red/blush wine
beef,dessert
tropical fruit,frankfurter
root vegetables,bottled beer
other vegetables,whole milk
shopping bags,oil
whole milk,tropical fruit
pork,hamburger meat
rolls/buns,coffee,chocolate,tropical fruit
soda,yogurt
spread cheese,pork
rolls/buns,pork
brown bread,fruit/vegetable juice
salt,domestic eggs
dishes,tropical fruit,sliced cheese,bottled beer
red/blush wine,citrus fruit
cream cheese,newspapers
fruit/vegetable juice,roll products,yogurt
ham,other vegetables
frankfurter,canned beer
brown bread,salt
bottled water,yogurt,domestic eggs
pip fruit,curd,prosecco,pip fruit
brown bread,finished products,dishes
detergent,candy
ketchup,semi-finished bread
shopping bags,oil
misc. beverages,instant coffee
flower (seeds),fruit/vegetable juice
UHT-milk,canned fish
rolls/buns,pip fruit
dishes,frankfurter,frozen meals
fruit/vegetable juice,citrus fruit,frankfurter,bottled water
sausage,brown bread
bottled water,butter,chicken,frankfurter
sausage,bottled water,butter
whole milk,ham,coffee,whole milk
pastry,pasta
rolls/buns,artif. sweetener,soda,canned beer
brown bread,white bread
other vegetables,butter
rolls/buns,root vegetables
tropical fruit,soda
soda,chicken
white bread,rolls/buns,frankfurter,curd,coffee
red/blush wine,bottled water,sweet spreads
napkins,rolls/buns,onions
canned beer,soda
pet care,frozen vegetables,root vegetables
beverages,yogurt
tropical fruit,whole milk
whole milk,newspapers,pastry,other vegetables,frankfurter
butter milk,coffee
specialty bar,tropical fruit,bottled beer,yogurt,baking powder
hygiene articles,bottled water
beef,other vegetables,margarine
soda,specialty chocolate,bathroom cleaner
hamburger meat,whole milk
pork,sliced cheese
other vegetables,pip fruit
shopping bags,other vegetables,soda
yogurt,newspapers
citrus fruit,root vegetables
rolls/buns,soda
herbs,margarine,canned beer
ice cream,whipped/sour cream
other vegetables,soda,butter,beef,curd
rolls/buns,citrus fruit
beverages,sausage
whole milk,whole milk
white bread,specialty chocolate
whole milk,other vegetables
ham,white bread
coffee,berries
flower (seeds),soda,jam
pip fruit,chocolate,sausage
herbs,pot plants,cake bar
berries,yogurt
whole milk,hard cheese
other vegetables,meat,domestic eggs,baking powder,tropical fruit
yogurt,sauces
dishes,yogurt,specialty chocolate,napkins,detergent,pastry,sausage,whisky
yogurt,beef
whole milk,ice cream
yogurt,newspapers
root vegetables,other vegetables,soda,specialty bar,frozen vegetables
photo/film,shopping bags
salty snack,domestic eggs,bottled water,Instant food products,rolls/buns,grapes,bottled beer,sausage
bottled beer,other vegetables,frankfurter
dessert,domestic eggs
brown bread,whole milk
waffles,whole milk,pasta
newspapers,salty snack
chocolate marshmallow,other vegetables
detergent,flour,hamburger meat
root vegetables,misc. beverages,tropical fruit,sausage
soda,tropical fruit
sausage,whole milk
yogurt,shopping bags
flour,pickled vegetables
pork,packaged fruit/vegetables,bottled water,domestic eggs
pip fruit,fruit/vegetable juice
sausage,whole milk,cake bar
shopping bags,root vegetables
curd,shopping bags,whipped/sour cream
hard cheese,whole milk
whipped/sour cream,bottled water,frankfurter
whole milk,curd,tropical fruit,soda
citrus fruit,dessert
candy,tropical fruit
shopping bags,cat food,rolls/buns
canned beer,rolls/buns,napkins
hard cheese,specialty chocolate,whole milk,canned beer,citrus fruit,yogurt,frankfurter,tropical fruit
root vegetables,frozen vegetables,bottled water,cat food
other vegetables,grapes
brown bread,pip fruit
instant coffee,root vegetables
pork,spread cheese
hamburger meat,pasta
yogurt,whole milk
soda,butter milk,pudding powder,butter,hygiene articles,grapes
whole milk,processed cheese
sparkling wine,brown bread
rolls/buns,other vegetables,whipped/sour cream
root vegetables,frozen vegetables
candy,white wine
brown bread,beverages,yogurt
detergent,other vegetables,white bread
chicken,pastry,candles
ice cream,herbs
tea,hygiene articles,waffles
yogurt,cream
yogurt,root vegetables
herbs,rolls/buns,yogurt,other vegetables
yogurt,domestic eggs
pork,whole milk
white bread,other vegetables
yogurt,whole milk,bottled water,tropical fruit
beef,newspapers,specialty fat
onions,newspapers
semi-finished bread,rolls/buns
whole milk,pastry
rolls/buns,shopping bags
shopping bags,chicken,rolls/buns,spread cheese,liver loaf
citrus fruit,misc. beverages
misc. beverages,citrus fruit
whipped/sour cream,grapes,pastry,canned beer
specialty cheese,frozen potato products
salty snack,pastry,oil
shopping bags,brown bread,whole milk
whole milk,chocolate
sugar,curd
pip fruit,margarine
salty snack,pastry,pip fruit
margarine,citrus fruit,frozen vegetables
yogurt,margarine
liquor,pickled vegetables
bottled water,chocolate
salty snack,soda
yogurt,ham
baking powder,butter,margarine,curd,dishes,pastry
whole milk,soda
frozen vegetables,whole milk,soda,UHT-milk
other vegetables,whipped/sour cream
flour,sugar,bottled water
beef,semi-finished bread
jam,dish cleaner,ice cream,newspapers
whole milk,newspapers,yogurt
canned beer,curd
domestic eggs,pudding powder,pork
specialty bar,baking powder,bottled beer
chocolate,salty snack,brown bread
root vegetables,shopping bags
citrus fruit,root vegetables
shopping bags,sausage,dessert,dog food
shopping bags,chicken
UHT-milk,misc. beverages,white bread
turkey,root vegetables
butter,other vegetables
whipped/sour cream,yogurt
yogurt,other vegetables
other vegetables,napkins
butter milk,brown bread,canned vegetables,soda
other vegetables,zwieback
soda,brown bread
newspapers,hard cheese,liquor,root vegetables,cream cheese,other vegetables
chicken,bottled water
rolls/buns,newspapers,beverages,white bread
frankfurter,rolls/buns
whole milk,meat,whipped/sour cream
bottled beer,sliced cheese,frozen vegetables
processed cheese,canned beer,pip fruit
berries,condensed milk
curd,rolls/buns,house keeping products,pickled vegetables
yogurt,ham
whole milk,hair spray,pastry,butter
whole milk,grapes
tropical fruit,sugar
soda,newspapers,UHT-milk,white bread
meat,other vegetables
other vegetables,specialty bar
citrus fruit,brown bread
rice,pastry,condensed milk,tropical fruit,chocolate marshmallow
coffee,shopping bags
dishes,chicken
frozen vegetables,root vegetables
bottled water,citrus fruit
rolls/buns,oil,yogurt
whole milk,pip fruit
cling film/bags,frozen vegetables,rolls/buns
soda,canned vegetables,pork
bottled beer,hygiene articles
yogurt,soda
margarine,rolls/buns,root vegetables
margarine,rolls/buns
shopping bags,condensed milk
sausage,pastry
citrus fruit,popcorn
rolls/buns,whipped/sour cream
misc. beverages,whole milk,long life bakery product
newspapers,napkins,pork,root vegetables
roll products,soda
soda,citrus fruit
margarine,frankfurter,shopping bags,rolls/buns
pastry,UHT-milk,butter,other vegetables
specialty bar,frozen vegetables,frozen vegetables,soda
domestic eggs,liquor
white bread,frankfurter
meat,coffee
baking powder,whole milk
flower (seeds),white wine
frozen meals,grapes,flower (seeds)
shopping bags,brown bread,yogurt,tea
specialty chocolate,cream cheese
yogurt,softener
margarine,soda
cream cheese,cream cheese,tropical fruit
bottled water,frankfurter,dessert,root vegetables
bottled beer,whole milk
shopping bags,salty snack,other vegetables,other vegetables,rolls/buns,semi-finished bread
soda,whole milk
shopping bags,shopping bags,coffee
yogurt,pastry
rice,rolls/buns,sausage
pork,napkins,whole milk
curd,domestic eggs
cream cheese,newspapers
pastry,brown bread,yogurt
oil,other vegetables
hard cheese,butter
whole milk,other vegetables
soda,sausage,shopping bags,butter,dessert,soda
citrus fruit,flower (seeds)
instant coffee,shopping bags
fruit/vegetable juice,rolls/buns
root vegetables,butter milk
other vegetables,tropical fruit
brown bread,tropical fruit,butter milk
citrus fruit,herbs
other vegetables,beef
tropical fruit,whole milk
canned beer,nut snack
other vegetables,whole milk,sugar,other vegetables
citrus fruit,napkins
butter milk,rolls/buns
whole milk,root vegetables
tropical fruit,soft cheese
brown bread,canned beer,rolls/buns
pork,pickled vegetables
misc. beverages,tropical fruit
frankfurter,curd,other vegetables,waffles,photo/film
pip fruit,cling film/bags,other vegetables
tropical fruit,yogurt
rolls/buns,cat food
rolls/buns,whole milk,soda
berries,white bread
soups,newspapers
napkins,other vegetables
soda,rolls/buns
brown bread,chicken
UHT-milk,soda
soda,pork
pickled vegetables,oil
misc. beverages,spread cheese
whole milk,sugar,soda,whole milk
coffee,root vegetables
pork,domestic eggs
white bread,domestic eggs,chicken
soda,whipped/sour cream
whole milk,meat
canned beer,fish
root vegetables,white bread,hard cheese
brown bread,other vegetables
bottled beer,soda
tropical fruit,root vegetables
curd,soft cheese
root vegetables,cereals,pip fruit,frozen vegetables
other vegetables,candy,sliced cheese,berries
soda,yogurt,yogurt
waffles,bottled water,shopping bags
whole milk,bottled beer
margarine,pork
detergent,frozen meals
soda,whole milk
canned fish,specialty chocolate
root vegetables,soda,long life bakery product
soda,other vegetables
yogurt,pork
dog food,yogurt,sausage,whole milk,baking powder,sliced cheese,shopping bags,white bread
tropical fruit,pork
soda,other vegetables
soda,bottled beer,chicken,yogurt
seasonal products,frozen vegetables,yogurt
berries,pip fruit
long life bakery product,UHT-milk,bottled water,rolls/buns
sugar,canned beer
other vegetables,fruit/vegetable juice
curd,soft cheese
pastry,berries,pip fruit
soda,curd cheese
rolls/buns,whole milk
frozen meals,soda
pork,domestic eggs
rolls/buns,canned beer,dish cleaner,tropical fruit
chewing gum,whole milk,bottled beer,ready soups
chicken,cake bar
butter,ice cream
mustard,soft cheese,frankfurter
grapes,whole milk
rolls/buns,female sanitary products
root vegetables,frozen vegetables,other vegetables
whole milk,sausage,canned beer,citrus fruit
whole milk,sausage,pet care,yogurt
house keeping products,whole milk
frankfurter,brandy
other vegetables,berries
frozen meals,curd,beef
napkins,whole milk,tropical fruit,UHT-milk
bottled water,whole milk
citrus fruit,yogurt
whole milk,cream cheese
rolls/buns,rolls/buns,other vegetables,butter,root vegetables
light bulbs,citrus fruit
frozen vegetables,domestic eggs
soda,citrus fruit
yogurt,whole milk
root vegetables,whole milk
shopping bags,frozen meals
beef,domestic eggs,bottled beer,coffee
chewing gum,butter
pip fruit,tropical fruit,mustard
newspapers,bottled beer,beef
other vegetables,spread cheese,whole milk,yogurt
white bread,yogurt
berries,male cosmetics,fruit/vegetable juice,canned beer
misc. beverages,coffee
red/blush wine,salty snack
canned beer,citrus fruit
bottled water,sausage
white bread,frozen vegetables
newspapers,beef,whole milk,bottled water,citrus fruit
sliced cheese,other vegetables
whole milk,root vegetables,canned vegetables
house keeping products,beef
frozen vegetables,whole milk
chocolate,pork,packaged fruit/vegetables
spices,curd
brown bread,root vegetables
bottled water,tropical fruit
rolls/buns,other vegetables
domestic eggs,coffee
long life bakery product,herbs,sweet spreads
whole milk,bottled beer,chocolate,UHT-milk
frozen vegetables,frankfurter
bottled water,liquor
other vegetables,rolls/buns
whole milk,other vegetables,white bread,waffles
napkins,napkins
margarine,soda
whipped/sour cream,finished products,newspapers
napkins,cleaner
detergent,soda
bottled beer,cake bar
whole milk,canned beer
shopping bags,chocolate
pip fruit,whipped/sour cream
sparkling wine,whole milk
citrus fruit,whipped/sour cream
rolls/buns,bottled water,bottled water,soda,turkey,pork,dog food,whole milk
chicken,pip fruit
soda,whipped/sour cream
soda,other vegetables
brown bread,pasta
beverages,specialty chocolate
onions,bottled water
rolls/buns,margarine
newspapers,specialty bar
rolls/buns,bottled beer,fruit/vegetable juice
rolls/buns,hard cheese
citrus fruit,syrup
pickled vegetables,baking powder
cling film/bags,root vegetables
pip fruit,whipped/sour cream
soft cheese,rolls/buns,fruit/vegetable juice
other vegetables,hamburger meat
citrus fruit,specialty chocolate,brown bread
pasta,oil
soda,yogurt,citrus fruit,shopping bags,white wine,whole milk
bottled water,yogurt,chocolate,butter,beef,berries
tropical fruit,other vegetables
sugar,hard cheese,bottled water
whole milk,soda
domestic eggs,curd cheese,frozen potato products
tropical fruit,whole milk
other vegetables,pastry
canned beer,brown bread,rolls/buns,dessert
shopping bags,tropical fruit
coffee,oil
other vegetables,ice cream,pork,salt
jam,chocolate,bottled water
soda,cereals
chicken,frozen meals,napkins
frozen potato products,whole milk
citrus fruit,white bread
bottled beer,oil,whole milk,dishes
mayonnaise,white bread
root vegetables,sausage
butter,mustard
red/blush wine,rolls/buns
candy,canned fish,baking powder
beef,butter milk
shopping bags,ice cream,hamburger meat,soft cheese,whole milk
pip fruit,hamburger meat
sausage,domestic eggs
butter,cream cheese,sausage,bottled beer,other vegetables,dessert,canned beer,brown bread
pastry,spread cheese,butter,brown bread,root vegetables,ham
newspapers,beef,whole milk
root vegetables,sweet spreads
whole milk,beef,frozen meals
frankfurter,canned beer
chewing gum,ice cream
specialty bar,chocolate,pip fruit
butter,soda
domestic eggs,white bread
soda,detergent
other vegetables,whole milk,canned fruit
soda,soda
citrus fruit,domestic eggs
onions,other vegetables,shopping bags
bottled water,butter milk,cleaner
other vegetables,bottled beer
soda,rolls/buns,whole milk
dessert,tropical fruit
bottled beer,sliced cheese
hamburger meat,bottled beer
soda,rolls/buns,pip fruit
bottled water,soda
specialty chocolate,whipped/sour cream
canned beer,root vegetables
meat spreads,other vegetables
root vegetables,root vegetables
sparkling wine,waffles
berries,white bread
other vegetables,hamburger meat,citrus fruit,specialty chocolate
pastry,brown bread
fruit/vegetable juice,seasonal products,butter
shopping bags,soda
root vegetables,citrus fruit
bottled water,honey,whole milk
pip fruit,napkins
pastry,coffee,butter,soda
shopping bags,butter
soft cheese,whole milk
liquor,finished products
pip fruit,shopping bags
domestic eggs,newspapers
candy,rolls/buns,bottled beer,mayonnaise
waffles,pip fruit
whole milk,brown bread
beef,whipped/sour cream
chocolate,sausage
citrus fruit,yogurt
sliced cheese,citrus fruit,root vegetables,misc. beverages,yogurt,whipped/sour cream,root vegetables,packaged fruit/vegetables
napkins,citrus fruit
frozen fish,specialty chocolate
newspapers,specialty chocolate,other vegetables
grapes,rolls/buns
beverages,sausage
rolls/buns,popcorn,whole milk,white bread
bottled water,sugar,flour,salty snack,canned vegetables
brown bread,detergent
citrus fruit,root vegetables
rolls/buns,candy,dessert,canned fish
whole milk,candles
misc. beverages,coffee
oil,coffee
roll products,yogurt
rolls/buns,yogurt
soda,root vegetables,curd cheese,semi-finished bread
chocolate,softener
soda,beverages
root vegetables,yogurt
whole milk,waffles
pastry,rolls/buns
root vegetables,grapes,chicken,bottled beer
sliced cheese,pip fruit
oil,whole milk
white bread,bottled water,ready soups,curd
chewing gum,yogurt,whole milk,yogurt
tropical fruit,hygiene articles,candles
cat food,sausage
sausage,soda,rolls/buns,sugar,softener,pastry,soda,other vegetables,whole milk
ham,pickled vegetables,shopping bags
yogurt,semi-finished bread,whole milk
whole milk,frankfurter
soft cheese,bottled water
yogurt,pork,beef
rolls/buns,frozen meals
shopping bags,misc. beverages
butter milk,tropical fruit
shopping bags,yogurt
brown bread,ham
sausage,dessert
long life bakery product,fruit/vegetable juice,specialty cheese
butter,margarine
finished products,domestic eggs
whole milk,specialty bar
butter,specialty bar,yogurt,frankfurter
other vegetables,UHT-milk
specialty bar,salty snack,rolls/buns,tropical fruit
domestic eggs,beef
tropical fruit,salt
cat food,tropical fruit
root vegetables,other vegetables
domestic eggs,fruit/vegetable juice
dessert,margarine,newspapers,newspapers,brown bread,beef,pork,beef,chicken
bottled beer,citrus fruit
syrup,waffles
pip fruit,meat,yogurt,chicken
sauces,yogurt
shopping bags,grapes,root vegetables
pip fruit,sliced cheese,other vegetables,semi-finished bread
long life bakery product,citrus fruit
onions,turkey
canned beer,brown bread
bottled water,whole milk,napkins,tropical fruit,specialty fat,soda,root vegetables,pastry
sugar,whole milk
citrus fruit,bottled water,grapes
pastry,whole milk,dog food
citrus fruit,citrus fruit
cling film/bags,meat,curd
pork,frozen meals
other vegetables,fruit/vegetable juice
yogurt,sausage,whole milk,butter,whole milk
tropical fruit,rolls/buns,frozen fish
tropical fruit,candles,meat,whole milk
red/blush wine,instant coffee
brown bread,canned beer
pasta,sausage
chocolate,margarine,canned beer
rolls/buns,specialty chocolate,onions,rice,napkins,butter milk,dental care,rolls/buns
waffles,pastry
frankfurter,ice cream
sugar,bottled water
canned beer,coffee
condensed milk,onions
butter,citrus fruit,UHT-milk
packaged fruit/vegetables,flour
yogurt,semi-finished bread,citrus fruit
rum,ham
UHT-milk,cooking chocolate
specialty chocolate,sausage
curd,whole milk
rolls/buns,pastry
white bread,jam
seasonal products,butter milk,soda
whole milk,shopping bags,whole milk,whole milk,detergent,flour
dessert,other vegetables,bottled beer,sliced cheese
brown bread,photo/film
hard cheese,pastry
specialty bar,beef,citrus fruit,long life bakery product,domestic eggs,white bread,soda,vinegar
whipped/sour cream,yogurt
photo/film,beverages,bottled beer
mustard,brown bread
frozen potato products,beef,white bread
newspapers,whipped/sour cream,ham
sliced cheese,canned beer
soda,canned beer
soda,butter milk,soda
whole milk,other vegetables
domestic eggs,ham
frankfurter,misc. beverages,pastry
margarine,yogurt
hard cheese,soda
ice cream,onions
whipped/sour cream,photo/film,white wine
grapes,detergent
root vegetables,sausage
pork,sliced cheese,flour
canned beer,pasta
bottled beer,rolls/buns
bottled water,butter,grapes
UHT-milk,curd
shopping bags,whipped/sour cream
other vegetables,rolls/buns
rolls/buns,soda,soda,salty snack,margarine,whipped/sour cream,waffles,rolls/buns,canned beer
chicken,whole milk
other vegetables,butter milk
root vegetables,bottled water,margarine
shopping bags,coffee,yogurt
curd,pastry
salty snack,root vegetables
butter,roll products
bottled beer,canned beer
abrasive cleaner,other vegetables,curd
other vegetables,condensed milk
bottled water,soda
dog food,processed cheese
spread cheese,sausage,bottled beer,sausage
shopping bags,waffles
dishes,newspapers,pip fruit
cling film/bags,whole milk
hard cheese,butter milk
misc. beverages,cleaner
other vegetables,citrus fruit
pork,cream cheese,other vegetables
beverages,sugar
rolls/buns,hard cheese
white bread,tropical fruit,ham,whole milk,other vegetables,sugar,soda
margarine,frankfurter
meat,soda
waffles,roll products
whole milk,condensed milk
sausage,processed cheese
whipped/sour cream,yogurt
yogurt,bottled beer,bottled water,finished products
brown bread,tropical fruit
onions,hard cheese
soda,shopping bags
frozen fish,rolls/buns,other vegetables,oil,frozen vegetables,baking powder,sausage,whole milk,frozen vegetables
oil,margarine
specialty cheese,whole milk
pasta,soda,long life bakery product,specialty chocolate
other vegetables,meat,pasta
chocolate,butter
other vegetables,citrus fruit
sausage,frozen meals
bottled water,dog food,bottled beer,sausage
beverages,beverages,sugar,pasta,domestic eggs
shopping bags,tropical fruit
soda,cling film/bags
soft cheese,UHT-milk
soda,candy
rolls/buns,bottled water,shopping bags,salty snack
onions,soft cheese
white bread,coffee
shopping bags,condensed milk,dessert,rolls/buns
canned fruit,processed cheese,soda,shopping bags,soda,soda
other vegetables,grapes
tropical fruit,rolls/buns
shopping bags,turkey
whipped/sour cream,yogurt
yogurt,canned beer
berries,tropical fruit
other vegetables,UHT-milk
butter,candy
other vegetables,frozen vegetables
chicken,butter
margarine,margarine
skin care,citrus fruit
root vegetables,frozen vegetables
packaged fruit/vegetables,dessert
tropical fruit,pip fruit
curd,beef
frankfurter,whole milk
coffee,citrus fruit
bottled beer,soda,frozen meals
other vegetables,chewing gum
canned beer,dessert,fruit/vegetable juice
other vegetables,grapes
chicken,pastry
soda,dishes,pot plants,whole milk,pork,turkey
pastry,liqueur
specialty cheese,processed cheese,sausage,baking powder
ham,napkins
specialty bar,specialty chocolate,white wine
soda,red/blush wine
tea,coffee
other vegetables,sugar
berries,domestic eggs
sausage,coffee
herbs,oil,butter,UHT-milk
cream cheese,frozen dessert
rolls/buns,yogurt
yogurt,coffee
fruit/vegetable juice,rolls/buns,frozen vegetables,whipped/sour cream
shopping bags,whole milk
hamburger meat,coffee
berries,fruit/vegetable juice
ice cream,whole milk
sliced cheese,grapes,sausage,napkins
root vegetables,pork
sausage,curd
shopping bags,pip fruit
canned vegetables,flower (seeds),domestic eggs,whole milk
hard cheese,rolls/buns,rolls/buns,flour
frozen meals,organic sausage,sugar
pickled vegetables,whole milk,onions
other vegetables,citrus fruit
frozen meals,bottled beer
butter,tropical fruit,white bread
mayonnaise,other vegetables,sausage,tropical fruit
tropical fruit,specialty bar
bottled water,pastry
curd,sugar
tropical fruit,semi-finished bread,soda,yogurt
soda,whole milk,other vegetables
UHT-milk,canned fish,root vegetables,waffles
hamburger meat,other vegetables,domestic eggs
curd,specialty chocolate,other vegetables,cream cheese,pip fruit,citrus fruit,chicken,pastry
yogurt,pork
shopping bags,red/blush wine,tropical fruit
brown bread,pork
sliced cheese,other vegetables
whole milk,butter
margarine,other vegetables,brown bread
misc. beverages,whole milk
white wine,sauces
canned fish,oil
rolls/buns,seasonal products
tropical fruit,root vegetables
frozen meals,red/blush wine,canned fruit
butter milk,whole milk,other vegetables,liquor
whole milk,softener,other vegetables
cake bar,flower soil/fertilizer
cereals,citrus fruit
pork,napkins
specialty bar,cleaner
pastry,pork
artif. sweetener,whole milk
tidbits,cream cheese
rolls/buns,dessert
coffee,specialty cheese,other vegetables
frozen potato products,shopping bags,butter milk,domestic eggs
citrus fruit,pastry
ice cream,butter
rolls/buns,dental care
mustard,sausage,onions
salt,citrus fruit
butter,root vegetables,dessert
curd,hygiene articles
whole milk,other vegetables
white bread,specialty chocolate
house keeping products,dessert
yogurt,hard cheese
bottled beer,sausage,whole milk,rolls/buns
cream cheese,whole milk,semi-finished bread
hard cheese,condensed milk
